iter	Passed	Remaining
425	1776	2393
426	1778	2386
427	1781	2381
428	1785	2376
429	1789	2371
430	1791	2365
431	1794	2360
432	1797	2354
433	1801	2348
434	1805	2344
435	1810	2342
436	1815	2338
437	1820	2335
438	1823	2330
439	1826	2325
440	1829	2319
441	1832	2314
442	1836	2309
443	1839	2303
444	1842	2297
445	1845	2292
446	1848	2287
447	1851	2281
448	1854	2276
449	1857	2270
450	1862	2266
451	1865	2261
452	1868	2256
453	1871	2251
454	1875	2246
455	1878	2241
456	1881	2235
457	1884	2230
458	1887	2225
459	1891	2220
460	1894	2215
461	1897	2209
462	1900	2204
463	1903	2199
464	1907	2194
465	1910	2189
466	1913	2183
467	1917	2179
468	1920	2174
469	1923	2169
470	1926	2163
471	1929	2158
472	1932	2153
473	1936	2148
474	1939	2143
475	1944	2140
476	1948	2136
477	1952	2132
478	1956	2127
479	1959	2123
480	1964	2119
481	1967	2114
482	1972	2111
483	1977	2107
484	1980	2103
485	1983	2097
486	1986	2092
487	1990	2088
488	1994	2083
489	1997	2079
490	2001	2075
491	2005	2070
492	2008	2065
493	2012	2061
494	2015	2056
495	2018	2050
496	2022	2046
497	2025	2042
498	2028	2036
499	2031	2031
500	2034	2026
501	2036	2020
502	2039	2015
503	2042	2010
504	2045	2005
505	2048	2000
506	2052	1995
507	2055	1991
508	2058	1986
509	2061	1981
510	2065	1976
511	2069	1972
512	2072	1967
513	2075	1962
514	2079	1958
515	2082	1953
516	2085	1948
517	2088	1943
518	2092	1938
519	2095	1934
520	2097	1928
521	2100	1923
522	2103	1918
523	2108	1914
524	2110	1909
525	2113	1904
526	2116	1899
527	2119	1895
528	2123	1890
529	2126	1885
530	2129	1880
531	2133	1876
532	2137	1872
533	2140	1867
534	2143	1862
535	2146	1858
536	2149	1853
537	2153	1848
538	2156	1844
539	2159	1839
540	2163	1835
541	2166	1830
542	2169	1825
543	2172	1820
544	2175	1816
545	2178	1811
546	2182	1807
547	2185	1802
548	2189	1798
549	2192	1793
550	2195	1789
551	2198	1784
552	2201	1779
553	2204	1774
554	2207	1770
555	2211	1765
556	2214	1761
557	2218	1757
558	2222	1753
559	2226	1749
560	2230	1745
561	2233	1740
562	2237	1736
563	2240	1732
564	2245	1728
565	2249	1724
566	2254	1721
567	2258	1717
568	2262	1713
569	2265	1709
570	2270	1705
571	2274	1701
572	2277	1697
573	2281	1693
574	2285	1689
575	2290	1685
576	2293	1681
577	2298	1678
578	2302	1674
579	2306	1670
580	2309	1665
581	2313	1661
582	2317	1657
583	2321	1653
584	2325	1649
585	2329	1645
586	2333	1641
587	2337	1637
588	2342	1634
589	2346	1630
590	2350	1626
591	2354	1622
592	2358	1618
593	2362	1614
594	2366	1610
595	2370	1606
596	2373	1602
597	2377	1598
598	2382	1594
599	2386	1591
600	2390	1586
601	2393	1582
602	2396	1578
603	2401	1574
604	2404	1569
605	2408	1565
606	2412	1561
607	2416	1557
608	2419	1553
609	2423	1549
610	2426	1545
611	2431	1541
612	2434	1537
613	2438	1533
614	2441	1528
615	2445	1524
616	2449	1520
617	2453	1516
618	2456	1512
619	2460	1508
620	2465	1504
621	2468	1500
622	2474	1497
623	2477	1492
624	2480	1488
625	2484	1484
626	2487	1480
627	2491	1476
628	2494	1471
629	2497	1466
630	2501	1463
631	2505	1458
632	2508	1454
633	2512	1450
634	2517	1446
635	2521	1443
636	2525	1439
637	2529	1435
638	2533	1431
639	2537	1427
640	2541	1423
641	2546	1419
642	2549	1415
643	2553	1411
644	2556	1407
645	2562	1404
646	2566	1400
647	2570	1396
648	2574	1392
649	2577	1387
650	2579	1382
651	2582	1378
652	2585	1374
653	2588	1369
654	2591	1365
655	2594	1360
656	2599	1356
657	2602	1352
658	2605	1348
659	2608	1343
660	2611	1339
661	2614	1335
662	2618	1330
663	2622	1326
664	2626	1323
665	2630	1319
666	2633	1314
